fecha,mes,año,patente,km inicio,km termino,km recorrido,personal_id,cargo,turno,tipo he,horas extras,monto turno,monto he,monto a pagar
08-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,CGR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
09-09-23,9.0,2023.0,HDWX 84,0.0,0.0,0.0,CGR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
11-09-23,9.0,2023.0,CCPX 23,0.0,0.0,0.0,CGR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
04-08-23,8.0,2023.0,BHWD 43,0.0,0.0,0.0,CGR,conductor,dia,he dia,0.0,35000.0,1458.5,36458.0
17-08-23,8.0,2023.0,BHWD 43,0.0,0.0,0.0,CGR,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
06-09-23,9.0,2023.0,CCPX 23,0.0,0.0,0.0,CGR,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
08-09-23,9.0,2023.0,BHWD 43,0.0,0.0,0.0,CGR,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
24-08-23,8.0,2023.0,BHWD 43,0.0,0.0,0.0,EIR,conductor,dia,he dia,-2.0,35000.0,-5834.0,29166.0
01-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
02-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
03-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
03-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
04-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
07-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
07-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,EIR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
09-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
14-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
18-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,EIR,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
